frequency (Hz),T_4_7k,T_2_2k,T_1k,T_470,T_queda_tensao_capacitor,T_queda_tensao_indutor
10.0,0.0048580507042694,0.0003756904314143604,,,0.9455785346506338,2.057984993987664e-06
16.237767391887218,0.012658340402455856,0.002678962247044993,,,0.9653304672549841,2.449017777161696e-07
26.366508987303583,0.032988427762304574,0.007195627474028537,,,0.9659595740403983,3.039633010201604e-07
42.81332398719393,0.08195670944987858,0.018507923271375733,,,0.9656705275166336,2.9121532093273177e-07
69.51927961775606,0.19249191051841721,0.04722605962956922,,,0.990034727010609,1.2567243146907612e-06
112.88378916846884,0.38800840200259673,0.12006863836402643,,,0.9657409663162131,1.1605182067766556e-06
183.29807108324357,0.6193289043995069,0.2602859106832497,,,0.9779247549013884,3.2850807929373147e-06
297.63514416313194,0.8023415467476458,0.4924922186413691,,,0.9779256507429575,7.06929438692344e-05
483.2930238571752,0.9045903778818849,0.7122834087423762,,,0.9539289801041254,0.0015431229965641878
784.7599703514607,0.9607895112329708,0.8794319682278101,,,0.9069687505301698,0.010083689889378059
1274.2749857031336,0.9726136266397146,0.9457818652852142,,,0.763859074086356,0.05823582632713663
2069.13808111479,0.9723175565685159,0.9927796088509905,,,0.4604488650378076,0.2490717481472468
3359.818286283781,0.9845091071393307,0.9684188963547183,,,0.15770102091039323,0.5951414503386294
5455.594781168515,0.9724684191053202,0.9214717042087495,,,0.031100293445668514,0.8299537994538856
8858.667904100823,0.9487519439263622,0.8223961761479872,,,0.005052517067894078,0.9202935078958737
14384.498882876629,0.90317664516349,0.6419938526266455,,,0.00018380333856747062,0.9540605065490526
23357.21469090121,0.785412036580912,0.3920493341558886,,,0.0005050818730854913,0.9658012604581032
37926.90190732246,0.5710190601709614,0.19564204322576373,,,5.6473090926247305e-06,0.9900988492951782
61584.82110660255,0.32005207044268214,0.07662490699859391,,,3.000936196345848e-06,0.989494916951239
100000.0,0.11049995220490628,0.022406527932216938,,,1.6206303002792884e-06,0.9894951320327093
