frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,2.4982943535,0.0311248004,79.0813827515,0.00015521222949948534,-38.09074062749887
16.588009552658857,3.7484097481,0.0228664801,87.2510070801,3.721384273311379e-05,-44.29295482044607
27.51620609191014,3.9237177372,0.1545912027,89.1089096069,0.0015522942058829343,-28.090259635659475
45.643908950553524,3.9834878445,0.2592850327,84.8219146729,0.00423670185492152,-23.72972097084274
75.71415976924726,4.0205645561,0.4304280281,83.4545516968,0.011461118620078094,-19.4077299259388
125.59472055238123,4.0081911087,0.7104260325,79.9498138428,0.03141527701735962,-15.02859106357711
208.33664242864197,4.0205254555,1.1443200111,72.9000015259,0.08100826915565391,-10.914706469809719
345.5890214775182,3.9834103584,1.807436347,61.7427406311,0.20588083757340042,-6.863840736025264
573.26339895631,3.9221274853,2.5747857094,48.2474212646,0.43096179183662275,-3.655612317651923
950.9298738076955,3.8859217167,3.2712063789,31.4828910828,0.7086434775775244,-1.4957220580928339
1577.4033830630735,3.8974335194,3.7241408825,14.0820198059,0.9130504433500342,-0.3950522831082554
2616.598238664666,3.8854398727,3.8272702694,-3.0125522614,0.9702817845527602,-0.1310212170850689
4340.415657843982,3.897395134,3.6270720959,-20.2948818207,0.8660909473285171,-0.6243650076668582
7199.885639482606,3.9326233864,3.0858032703,-37.3352546692,0.6157036878317033,-2.106282451414038
11943.177176578854,3.9938879013,2.346054554,-53.6992874146,0.3450519382503509,-4.621155287012003
19811.353709418727,4.0307517052,1.5880960226,-66.6455688477,0.15523206090662686,-8.090185766548423
32863.09245829414,4.0171122551,0.9751546383,-76.2631607056,0.058927639652663254,-12.296809542273245
54513.32916280944,4.030412674,0.5724890232,-83.4385223389,0.020176010551249898,-16.951647036522182
90426.76248999196,4.0682349205,0.3115760088,-87.9637908936,0.0058656476723547585,-22.31684027026716
150000.00000000003,3.123540163,0.0222804006,-92.1582717896,5.0880550466781526e-05,-42.93448198786677
